Employee ID,Satisfaction Level,Age,Start Date,Years of Experience,Department,Salary,Promotions,Resigned
99610,0.563529923433192,43,2015-12-25 21:09:16.652489,7,Production,Medium,2,0
22456,1.8682416147227938,39,2022-01-25 21:09:16.652560,10,Sales,Medium,0,0
63403,4.476133846345743,20,2010-05-10 21:09:16.652581,2,Sales,Low,2,1
72905,4.09927174171982,21,2020-12-11 21:09:16.652593,0,Tech,Medium,0,0
76339,3.605044105179383,50,2012-05-10 21:09:16.652613,9,R&D,Low,2,1
11966,0.5098360188641937,28,2020-02-11 21:09:16.652624,6,Management,Medium,0,0
98332,3.1059728310293333,37,2019-12-28 21:09:16.652630,15,Tech,Low,1,0
18341,2.909257008309902,49,2021-03-25 21:09:16.652637,15,Sales,Medium,2,0
90680,0.8358353053428147,65,2016-05-17 21:09:16.652646,17,Sales,Low,0,0
16606,3.869293948669681,32,2015-09-15 21:09:16.652652,13,Sales,Medium,2,0
33822,1.5598849246437363,42,2022-03-12 21:09:16.652658,0,R&D,Low,0,0
78966,3.1031286148902533,34,2012-12-29 21:09:16.652663,14,R&D,Low,0,0
65136,1.8091774290319673,39,2017-06-22 21:09:16.652669,6,Sales,Medium,1,0
49375,0.421976065524603,51,2022-09-24 21:09:16.652675,0,Sales,Low,2,0
70239,2.623974462319608,50,2009-03-01 21:09:16.652680,24,Sales,High,0,0
73325,1.533215677778275,42,2019-01-02 21:09:16.652686,11,Tech,Low,1,0
39660,0.3565650167379486,31,2021-04-18 21:09:16.652691,0,R&D,Low,1,0
30475,0.9925445804629696,63,2019-07-05 21:09:16.652699,18,Production,High,1,0
57943,3.09427884595456,47,2009-06-11 21:09:16.652710,17,Management,Low,1,0
96435,0.5069099969203084,39,2007-01-19 21:09:16.652722,0,R&D,High,1,0
92392,0.43733170526059906,39,2022-02-06 21:09:16.652731,5,Production,Medium,1,0
28093,4.720107845154255,36,2008-02-20 21:09:16.652737,5,Sales,Low,4,0
44534,0.5376168956070743,55,2008-11-01 21:09:16.652742,24,Production,Low,1,1
34954,1.8802986415477867,21,2020-04-20 21:09:16.652747,1,Tech,Medium,2,0
20365,0.6670544524174365,25,2013-03-07 21:09:16.652753,2,Tech,Medium,2,0
50550,4.69634546121125,62,2012-01-23 21:09:16.652758,17,Production,Low,3,0
21746,2.4058069975172156,56,2009-02-15 21:09:16.652764,10,Tech,High,1,1
73096,0.5555962105688506,27,2010-03-23 21:09:16.652769,8,Tech,Low,0,0
36135,3.844082212128204,45,2006-03-12 21:09:16.652775,21,R&D,Medium,4,0
71241,3.9039329385346955,38,2020-02-24 21:09:16.652780,9,Sales,Medium,1,0
82481,4.5059973167086245,18,2014-06-26 21:09:16.652786,0,Management,Low,0,0
24664,3.5282769345433667,54,2011-11-04 21:09:16.652806,30,Production,Medium,0,1
23943,0.2735813692052913,51,2018-10-15 21:09:16.652815,23,Sales,Low,0,0
15711,2.7515577355149072,28,2010-12-24 21:09:16.652822,8,Sales,Low,0,1
60980,1.9201992936685546,33,2008-11-26 21:09:16.652827,15,Sales,Medium,1,1
37753,3.7429052514668304,56,2013-08-24 21:09:16.652833,5,Production,Medium,2,1
14199,2.9546450425290818,31,2013-11-29 21:09:16.652838,12,Management,High,1,0
77898,3.6260026039611226,18,2017-09-14 21:09:16.652844,0,Sales,Medium,0,0
82360,0.9022195893654489,48,2007-10-01 21:09:16.652849,25,R&D,Low,1,0
33561,2.1853549696722663,61,2005-01-29 21:09:16.652854,22,Sales,Medium,3,0
34724,2.1605216349125795,60,2021-08-29 21:09:16.652859,17,Management,Low,0,0
39261,4.90487305791185,29,2021-08-16 21:09:16.652866,6,Tech,Low,0,1
19146,0.095550814016363,44,2007-09-06 21:09:16.652871,0,Sales,Medium,3,0
71712,4.080214710404774,34,2012-02-08 21:09:16.652876,10,Production,Medium,0,0
